year,brate_hispforb_other,brate_hispforb_mex,brate_hispnativeb_nonmex,brate_hispnativeb_mex
1994,90.166702,152.61882,63.218288,81.47303
1995,82.262222,140.87256,69.989349,83.8526
1996,76.403763,148.37401,63.108959,84.588867
1997,74.695572,140.26328,60.439041,83.841301
1998,78.587677,135.38693,59.244823,82.668922
1999,75.646828,147.89046,55.612724,79.299622
2000,81.976326,148.05188,51.973141,81.668106
2001,86.280113,154.82512,46.768852,80.346519
2002,89.329544,144.02216,45.327644,84.351532
2003,80.397049,133.10704,66.90094,78.199432
2004,82.684914,130.17381,65.212067,80.981895
2005,81.837219,133.58897,74.07988,77.139931
2006,86.203171,137.23064,80.628654,75.221275
2007,87.086479,131.84665,82.843552,76.094017
2008,97.247772,120.94812,79.569893,68.865257
2009,84.187225,111.91766,86.582245,64.664085
2010,78.214195,102.55296,80.452576,60.838642
2011,78.5933,97.365715,79.077332,56.927425
2012,77.004379,93.561935,79.232277,55.899647
2013,77.734955,85.991882,80.569473,56.068855
2014,66.727165,87.00206,76.348808,56.280083
2015,78.5177,83.135292,78.55072,55.361317
2016,80.444092,85.058189,79.176338,53.546024
2017,81.969482,77.812096,73.49427,53.10265
2018,80.694633,75.138107,72.814705,51.238388
2019,84.685051,71.705673,67.677994,52.346954
1990,,,,
1991,,,,
1992,,,,
1993,,,,
